AddressLine1,AddressLine2,AddressLine3,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,PostCode,RatingDate,RatingKey,RatingValue,SchemeType,longitude,latitude,Hygiene,Structural,ConfidenceInManagement
34 PORCHESTER ROAD,,LONDON,1Rebel,Retailers - other,4613,0,1112323,00214/0034/1/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 6ES,2024-07-20,fhrs_5_en-gb,5,FHRS,-0.1875248,51.5165486,0.0,0.0,0.0
5 ALLINGTON STREET,,LONDON,1Rebel,Retailers - other,4613,0,1104418,19/00047/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1E 5BX,2025-01-21,fhrs_5_en-gb,5,FHRS,-0.1429411,51.497209,,,
2 CHESHAM HOTEL 2 CHESHAM STREET,,LONDON,2 Chesham Hotel,Hotel/bed & breakfast/guest house,7842,0,1693245,KJ3C31-5Q8AYX-Y6QKTN,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1X 8DT,2026-03-30,fhrs_5_en-gb,5,FHRS,-0.15562542,51.49573682,0.0,0.0,5.0
8-10 WIGMORE STREET,,LONDON,2 Veneti,Restaurant/Cafe/Canteen,1,0,411269,00283/0008/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1U 2RD,2026-05-22,fhrs_5_en-gb,5,FHRS,-0.146726,51.5168561,5.0,5.0,5.0
20 AIR STREET,,LONDON,20 Air cafe,Other catering premises,7841,0,1791323,HRL6LV-Z132RA-P1K6LN,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1B 5AN,2025-04-29,fhrs_5_en-gb,5,FHRS,-0.136698,51.5107621,0.0,0.0,0.0
3-5 SUTTON ROW,,LONDON,21 Soho,Restaurant/Cafe/Canteen,1,0,1361455,21/00242/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1D 4NR,2024-09-27,fhrs_5_en-gb,5,FHRS,-0.1313476,51.5156476,5.0,0.0,0.0
27 OLD COMPTON STREET,,LONDON,27 Old Compton Street Pasta Bar,Restaurant/Cafe/Canteen,1,0,1720965,PNHTWX-WQRBW2-CPXCNA,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1D 5JP,2025-07-01,fhrs_5_en-gb,5,FHRS,-0.1314017,51.5130519,5.0,5.0,5.0
15-17 MARYLEBONE LANE,,LONDON,28-50 Wine Workshop and Kitchen,Restaurant/Cafe/Canteen,1,0,641285,00513/0015/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1U 2NE,2025-04-24,fhrs_5_en-gb,5,FHRS,-0.1504508,51.5163484,0.0,0.0,0.0
BASEMENT AND GROUND FLOOR 3 GREEK STREET,,LONDON,3 Greek Street,Retailers - other,4613,0,413777,01382/0003/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1D 4NX,2022-06-15,fhrs_5_en-gb,5,FHRS,-0.131228,51.5148297,5.0,5.0,5.0
31 MARYLEBONE HIGH STREET,,LONDON,31 Below,Restaurant/Cafe/Canteen,1,0,1728411,N0G3GK-1Y2Z72-B7ZJK9,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1U 4PP,2026-05-05,fhrs_5_en-gb,5,FHRS,-0.1515499,51.5201696,0.0,5.0,0.0
34 GROSVENOR SQUARE,,LONDON,34,Restaurant/Cafe/Canteen,1,0,1039247,00101/0034/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1K 2HD,2025-04-14,fhrs_5_en-gb,5,FHRS,-0.1525879,51.5105548,0.0,0.0,0.0
40 DUKE STREET,,LONDON,40 Duke,Restaurant/Cafe/Canteen,1,0,1916453,DQDD2X-1YJZ0S-JMG8MM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1U 1AT,2026-05-08,fhrs_5_en-gb,5,FHRS,-0.1521636,51.5151382,5.0,5.0,5.0
40 GREEK STREET,,LONDON,40 Greek Street,Restaurant/Cafe/Canteen,1,0,413795,01382/0040/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1D 4EB,2025-03-22,fhrs_5_en-gb,5,FHRS,-0.1304571,51.5132437,0.0,5.0,0.0
1 LEICESTER PLACE,,LONDON,404 Club Not Found,Pub/bar/nightclub,7843,0,1866396,R6M9FW-QV9XQV-LZZ2CH,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,WC2H 7BP,2025-09-19,fhrs_5_en-gb,5,FHRS,-0.130219,51.5109647,0.0,0.0,0.0
41 BUCKINGHAM PALACE ROAD,,LONDON,41,Hotel/bed & breakfast/guest house,7842,0,412684,00915/0041/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1W 0PP,2025-03-21,fhrs_5_en-gb,5,FHRS,-0.1434355,51.4981802,5.0,5.0,0.0
45 PARK LANE,,LONDON,45 Park Lane,Hotel/bed & breakfast/guest house,7842,0,1220998,00585/0045/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1K 1PN,2025-04-30,fhrs_5_en-gb,5,FHRS,-0.151575,51.5063842,5.0,0.0,5.0
2-5 HERTFORD STREET,,LONDON,5 Hertford Street,Pub/bar/nightclub,7843,0,594703,12/00093/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1J 7RW,2026-06-15,fhrs_5_en-gb,5,FHRS,-0.1475896,51.5062314,5.0,5.0,5.0
7 NORTHUMBERLAND AVENUE,,LONDON,50 Kalo,Restaurant/Cafe/Canteen,1,0,414671,08/00090/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,WC2N 5BY,2021-04-28,fhrs_5_en-gb,5,FHRS,-0.1267294,51.5071501,5.0,5.0,5.0
64 OLD COMPTON STREET,,LONDON,64 Compton Street Restaurant,Restaurant/Cafe/Canteen,1,0,1681442,J99N5A-08CKE1-4VF27L,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1D 4TL,2025-11-03,fhrs_5_en-gb,5,FHRS,,,0.0,5.0,0.0
BASEMENT TO THIRD FLOOR 67 PALL MALL,,LONDON,67 Pall Mall,Restaurant/Cafe/Canteen,1,0,1717022,K3PR1H-ERZSYX-FT8WTE,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1Y 5ES,2025-12-02,fhrs_5_en-gb,5,FHRS,-0.1370185,51.5053805,5.0,5.0,5.0
55 BAKER STREET,,LONDON,6th Floor The Terrace Kitchen,Other catering premises,7841,0,1775686,DLH75J-EDV3EJ-S7Z4FA,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1U 8EW,2024-12-03,fhrs_5_en-gb,5,FHRS,-0.1563434,51.5189051,5.0,0.0,0.0
76 DEAN STREET,,LONDON,76 Dean Street,Restaurant/Cafe/Canteen,1,0,941360,16/00064/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1D 3SQ,2025-04-22,fhrs_5_en-gb,5,FHRS,-0.133053,51.5139055,0.0,5.0,0.0
30 BERNERS STREET,,LONDON,7th floor cafe,Other catering premises,7841,0,1712449,EE2M5P-QCY9MH-09M3ZM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1T 3LR,2024-04-26,fhrs_5_en-gb,5,FHRS,-0.1371211,51.5184036,0.0,0.0,0.0
86 ST JAMES'S STREET,,LONDON,86 St James Limited,Other catering premises,7841,0,412156,00683/0086/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1A 1PL,2025-05-29,fhrs_5_en-gb,5,FHRS,-0.1386974,51.5052003,5.0,0.0,0.0
BASEMENT AND GROUND FLOOR 52 WELLS STREET,,LONDON,?MÍ,Restaurant/Cafe/Canteen,1,0,1797971,E2Z2E2-NP5NKV-EZWNRQ,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1T 3PR,2026-06-25,fhrs_5_en-gb,5,FHRS,-0.1400341,51.5183689,5.0,5.0,5.0
70-71 WILTON ROAD,,LONDON,A Wong,Restaurant/Cafe/Canteen,1,0,411284,00284/0070/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1V 1DE,2025-04-23,fhrs_5_en-gb,5,FHRS,-0.1405884,51.4930902,5.0,5.0,5.0
BEETHOVEN CENTRE THIRD AVENUE,,LONDON,A2Dominion Group,Other catering premises,7841,0,1349136,21/00163/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,,2024-09-12,fhrs_5_en-gb,5,FHRS,,,0.0,0.0,5.0
71 ABBEY ROAD,ABBEY ROAD,LONDON,Abbey Road Groceries,Retailers - other,4613,0,413019,01004/0071/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,NW8 0AE,2024-01-02,fhrs_5_en-gb,5,FHRS,-0.1843601,51.5374803,0.0,0.0,0.0
121 SUSSEX GARDENS,,LONDON,Abc Hyde Park Hotel,Hotel/bed & breakfast/guest house,7842,0,414267,01585/0121/0/001,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 2RU,2024-04-13,fhrs_5_en-gb,5,FHRS,-0.1715748,51.5154116,5.0,5.0,5.0
1 OLD BARRACK YARD,,LONDON,Abc Kitchens,Restaurant/Cafe/Canteen,1,0,1720968,QLB88Z-V1AE1T-63948X,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1X 7NP,2025-12-02,fhrs_5_en-gb,5,FHRS,-0.1548456,51.5021192,0.0,5.0,0.0
163-167 PRAED STREET,,LONDON,Aberdeen Steak House,Restaurant/Cafe/Canteen,1,0,427832,00572/0163/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 1RH,2024-10-15,fhrs_5_en-gb,5,FHRS,-0.1752986,51.5156404,5.0,5.0,0.0
3 BROADWAY,,LONDON,Abokado,Restaurant/Cafe/Canteen,1,0,413182,01082/0003/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1H 0AZ,2025-11-25,fhrs_5_en-gb,5,FHRS,-0.1338136,51.4988278,0.0,5.0,5.0
34 MARYLEBONE ROAD,,LONDON,Absolute Taste at Royal Academy Of Music,Restaurant/Cafe/Canteen,1,0,1681432,ANMKKG-XR9X0X-SVJ4T5,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,NW1 5HT,2024-04-05,fhrs_5_en-gb,5,FHRS,,,0.0,5.0,0.0
UNIT E QUEENSWAY MARKET 23-25 QUEENSWAY,,LONDON,Abu Maher,Takeaway/sandwich shop,7844,0,1520501,22/00383/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 4QJ,2023-09-30,fhrs_5_en-gb,5,FHRS,-0.1873758,51.5109447,5.0,5.0,5.0
BASEMENT AND GROUND FLOOR 130 WARDOUR STREET,,LONDON,Acai Berry,Retailers - other,4613,0,1516058,00688/0130/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1F 8ZN,2024-06-19,fhrs_5_en-gb,5,FHRS,-0.1344765,51.5143418,0.0,0.0,0.0
3 ORCHARD PLACE,WESTMINSTER,LONDON,Acai Berry St James Park,Retailers - other,4613,0,1643136,RN47ND-B91C7C-95SJ2T,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1H 0BF,2025-03-24,fhrs_5_en-gb,5,FHRS,-0.1328795,51.4986808,5.0,5.0,5.0
GROUND FLOOR 2 GEORGE STREET,,LONDON,Acai Do Brazil,Takeaway/sandwich shop,7844,0,1432423,21/00831/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1U 3QR,2024-01-24,fhrs_5_en-gb,5,FHRS,-0.1518065,51.5181053,0.0,0.0,5.0
MOD MAIN BUILDING HORSE GUARDS AVENUE,,LONDON,Acorn Nursery,School/college/university,7845,0,412399,00804/2001/2/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1A 2HB,2024-01-29,fhrs_5_en-gb,5,FHRS,-0.1248602,51.504046,0.0,0.0,0.0
81 PETTY FRANCE,,LONDON,Adam & Eve,Restaurant/Cafe/Canteen,1,0,427802,00512/0081/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1H 9EX,2024-11-23,fhrs_5_en-gb,5,FHRS,-0.1356342,51.4994053,0.0,5.0,5.0
77A WELLS STREET,,LONDON,Adam & Eve,Restaurant/Cafe/Canteen,1,0,427765,00276/0077/A/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1T 3QP,2024-05-13,fhrs_5_en-gb,5,FHRS,-0.1374582,51.5165025,0.0,5.0,5.0
17 MAIDEN LANE,,LONDON,Adam Handling Chocolate Shop,Retailers - other,4613,0,1791337,PZEVZL-XN32F3-PQEJ0T,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,WC2E 7NL,2025-04-03,fhrs_5_en-gb,5,FHRS,-0.1233185,51.5105488,0.0,5.0,5.0
74-78 SEYMOUR PLACE,,LONDON,Adam Health,Retailers - other,4613,0,1366256,21/00255/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1H 2EH,2021-07-27,fhrs_5_en-gb,5,FHRS,-0.1625682,51.5185981,0.0,0.0,0.0
28 CLIFTON ROAD,,LONDON,Adam on the Go,Restaurant/Cafe/Canteen,1,0,1873481,D7CAAY-GAKHFJ-B5PKAE,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W9 1ST,2025-10-08,fhrs_5_en-gb,5,FHRS,-0.1799191,51.5255502,0.0,0.0,5.0
153 SUSSEX GARDENS,,LONDON,Adare Hotel,Hotel/bed & breakfast/guest house,7842,0,414283,01585/0153/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 2RY,2018-03-20,fhrs_5_en-gb,5,FHRS,-0.1726076,51.5148162,0.0,5.0,5.0
GATTI HOUSE 410 STRAND,,LONDON,Adelphi Theatre,Restaurant/Cafe/Canteen,1,0,414215,01576/0410/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,WC2R 0NR,2024-01-15,fhrs_5_en-gb,5,FHRS,-0.1228015,51.5101538,0.0,5.0,0.0
54 OLD COMPTON STREET,,LONDON,Admiral Duncan Public House,Restaurant/Cafe/Canteen,1,0,412536,00859/0054/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1D 4UD,2023-08-23,fhrs_5_en-gb,5,FHRS,-0.1322732,51.5128859,0.0,0.0,0.0
36 MAIDEN LANE,,LONDON,Adoh,Restaurant/Cafe/Canteen,1,0,1857242,NFWPJ4-RYBHKM-2MS37N,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,WC2E 7LJ,2025-10-14,fhrs_5_en-gb,5,FHRS,-0.1230613,51.510832,5.0,5.0,5.0
50-52 BUCKINGHAM PALACE ROAD,,LONDON,Adrian's,Restaurant/Cafe/Canteen,1,0,412687,00915/0052/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1W 0RN,2020-03-13,fhrs_5_en-gb,5,FHRS,-0.1449574,51.4968913,5.0,5.0,5.0
11 PORCHESTER ROAD,,LONDON,Agape centre,Restaurant/Cafe/Canteen,1,0,1679171,H848EC-CMCKGA-06ZG2D,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 5DP,2024-01-16,fhrs_5_en-gb,5,FHRS,-0.1879215,51.5164386,0.0,0.0,5.0
24 WELLINGTON STREET,,LONDON,Aguamiel,Restaurant/Cafe/Canteen,1,0,1693254,NYAD8M-82319M-41J39A,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,WC2E 7DD,2024-06-10,fhrs_5_en-gb,5,FHRS,-0.1200853,51.5120707,5.0,5.0,0.0
20 KINGLY STREET,,LONDON,Ain't Nothin' But,Restaurant/Cafe/Canteen,1,0,412923,00980/0020/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1B 5PZ,2025-04-16,fhrs_5_en-gb,5,FHRS,-0.139533,51.5129833,0.0,0.0,5.0
1 CAVENDISH SQUARE,,LONDON,Aki Restaurant,Restaurant/Cafe/Canteen,1,0,1743841,HY77BN-BN0V8B-AVQBZJ,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1G 0LA,2025-10-16,fhrs_5_en-gb,5,FHRS,-0.1437936,51.5163062,0.0,5.0,0.0
21 BERNERS STREET,,LONDON,Akoko,Restaurant/Cafe/Canteen,1,0,1214662,19/00609/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1T 3LP,2025-11-15,fhrs_5_en-gb,5,FHRS,-0.136752,51.5179121,0.0,0.0,5.0
101-103 EDGWARE ROAD,,LONDON,Al Arez 1,Restaurant/Cafe/Canteen,1,0,412735,00919/0103/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 2HX,2024-09-16,fhrs_5_en-gb,5,FHRS,-0.1650314,51.5162564,5.0,5.0,5.0
11 EDGWARE ROAD,,LONDON,Al Balad,Restaurant/Cafe/Canteen,1,0,427954,00919/0011/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 2ER,2025-11-19,fhrs_5_en-gb,5,FHRS,-0.1617184,51.51402,5.0,5.0,5.0
60 EDGWARE ROAD,,LONDON,Al Balad,Restaurant/Cafe/Canteen,1,0,1499845,22/00265/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 2EH,2024-02-19,fhrs_5_en-gb,5,FHRS,-0.1621843,51.5148871,5.0,5.0,5.0
48 KNIGHTSBRIDGE,,LONDON,Al Basha Restaurant,Restaurant/Cafe/Canteen,1,0,412940,00987/0048/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1X 7JN,2026-03-26,fhrs_5_en-gb,5,FHRS,-0.1576814,51.5025415,5.0,5.0,5.0
35 WILLOW PLACE,,LONDON,al duca,Restaurant/Cafe/Canteen,1,0,1796109,GNT77F-GSC4D3-NWJK1Y,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1P 1JH,2025-02-21,fhrs_5_en-gb,5,FHRS,-0.1387214,51.4936541,5.0,0.0,0.0
48 KENDAL STREET,,LONDON,Al Maskoof,Restaurant/Cafe/Canteen,1,0,902400,16/00251/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 2BP,2024-05-13,fhrs_5_en-gb,5,FHRS,-0.1652602,51.5150972,5.0,5.0,0.0
139 NEW BOND STREET,,LONDON,Alaia Cafe,Restaurant/Cafe/Canteen,1,0,1822238,ST4VAQ-MEP9VM-J9FXLJ,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1S 2TL,2025-05-14,fhrs_5_en-gb,5,FHRS,-0.1442691,51.5117004,0.0,0.0,0.0
87 BOUNDARY ROAD,,LONDON,Alba Caffe',Restaurant/Cafe/Canteen,1,0,1898879,MMB9JZ-FY8BAK-LB27AZ,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,NW8 0RG,2026-01-07,fhrs_5_en-gb,5,FHRS,-0.1848065,51.5374962,5.0,5.0,5.0
70 BROMPTON ROAD,,LONDON,Alba restaurant,Restaurant/Cafe/Canteen,1,0,1720946,FZP5N5-RJ7SLN-JYLAN8,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW3 1ER,2026-03-11,fhrs_5_en-gb,5,FHRS,-0.1634738,51.5003931,0.0,0.0,5.0
20-24 SHAFTESBURY AVENUE,,LONDON,Albert's Schloss,Restaurant/Cafe/Canteen,1,0,1737195,LD5ZNP-DYKGV9-6PW308,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1D 7EU,2026-01-22,fhrs_5_en-gb,5,FHRS,-0.1335517,51.5108739,5.0,5.0,0.0
155 SUSSEX GARDENS,,LONDON,Albro House Hotel,Hotel/bed & breakfast/guest house,7842,0,414285,01585/0155/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 2RY,2026-07-11,fhrs_5_en-gb,5,FHRS,-0.1726666,51.5147811,0.0,0.0,0.0
466-490 EDGWARE ROAD,,LONDON,Aldi,Retailers - supermarkets/hypermarkets,7840,0,1320495,21/00047/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 1EJ,2025-03-12,fhrs_5_en-gb,5,FHRS,-0.175247,51.5237983,0.0,5.0,0.0
49 ALDWYCH,,LONDON,Aldwych Theatre,Restaurant/Cafe/Canteen,1,0,412294,00747/0049/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,WC2B 4DF,2024-09-12,fhrs_5_en-gb,5,FHRS,-0.1188621,51.5130763,5.0,5.0,0.0
2-2A DAVIES STREET,,LONDON,Alfred Dunhill Spa,Restaurant/Cafe/Canteen,1,0,412442,00814/0002/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1K 3DJ,2025-09-29,fhrs_5_en-gb,5,FHRS,-0.1471566,51.5108648,0.0,5.0,0.0
10 MOTCOMB STREET,,LONDON,Alfred Tennyson,Restaurant/Cafe/Canteen,1,0,413901,01451/0010/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1X 8LA,2026-03-11,fhrs_5_en-gb,5,FHRS,-0.1564857,51.499681,0.0,5.0,5.0
MARCOL HOUSE 289-293 REGENT STREET,,LONDON,All Bar One,Restaurant/Cafe/Canteen,1,0,413503,01217/0289/1/004,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1B 2HJ,2024-09-24,fhrs_5_en-gb,5,FHRS,-0.1427758,51.5165239,0.0,5.0,0.0
5A PICTON PLACE,,LONDON,All Bar One,Restaurant/Cafe/Canteen,1,0,411651,00517/0005/A/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1U 1BL,2024-12-13,fhrs_5_en-gb,5,FHRS,-0.151354,51.5154004,0.0,5.0,5.0
